Color.Name,Hex.Code,Dec.Code,X.Code,HSL.Code,CMYK.Code
gray56,#8F8F8F,"rgb(143, 143, 143)","rgb(56%, 56%, 56%)","hsl(0, 0%, 56%)","cmyk(0%, 0%, 0%, 44%)"
gray57,#919191,"rgb(145, 145, 145)","rgb(57%, 57%, 57%)","hsl(0, 0%, 57%)","cmyk(0%, 0%, 0%, 43%)"
gray58,#949494,"rgb(148, 148, 148)","rgb(58%, 58%, 58%)","hsl(0, 0%, 58%)","cmyk(0%, 0%, 0%, 42%)"
gray59,#969696,"rgb(150, 150, 150)","rgb(59%, 59%, 59%)","hsl(0, 0%, 59%)","cmyk(0%, 0%, 0%, 41%)"
gray60 (Safe Hex3),#999999,"rgb(153, 153, 153)","rgb(60%, 60%, 60%)","hsl(0, 0%, 60%)","cmyk(0%, 0%, 0%, 40%)"
gray61,#9C9C9C,"rgb(156, 156, 156)","rgb(61%, 61%, 61%)","hsl(0, 0%, 61%)","cmyk(0%, 0%, 0%, 39%)"
gray62,#9E9E9E,"rgb(158, 158, 158)","rgb(62%, 62%, 62%)","hsl(0, 0%, 62%)","cmyk(0%, 0%, 0%, 38%)"
gray63,#A1A1A1,"rgb(161, 161, 161)","rgb(63%, 63%, 63%)","hsl(0, 0%, 63%)","cmyk(0%, 0%, 0%, 37%)"
gray64,#A3A3A3,"rgb(163, 163, 163)","rgb(64%, 64%, 64%)","hsl(0, 0%, 64%)","cmyk(0%, 0%, 0%, 36%)"
gray65,#A6A6A6,"rgb(166, 166, 166)","rgb(65%, 65%, 65%)","hsl(0, 0%, 65%)","cmyk(0%, 0%, 0%, 35%)"
darkgrey (SVG),#A9A9A9,"rgb(169, 169, 169)","rgb(66%, 66%, 66%)","hsl(0, 0%, 66%)","cmyk(0%, 0%, 0%, 34%)"
gray66,#A8A8A8,"rgb(168, 168, 168)","rgb(66%, 66%, 66%)","hsl(0, 0%, 66%)","cmyk(0%, 0%, 0%, 34%)"
darkgray (SVG),#A9A9A9,"rgb(169, 169, 169)","rgb(66%, 66%, 66%)","hsl(0, 0%, 66%)","cmyk(0%, 0%, 0%, 34%)"
gray67,#ABABAB,"rgb(171, 171, 171)","rgb(67%, 67%, 67%)","hsl(0, 0%, 67%)","cmyk(0%, 0%, 0%, 33%)"
sgilight gray (Hex3),#AAAAAA,"rgb(170, 170, 170)","rgb(67%, 67%, 67%)","hsl(0, 0%, 67%)","cmyk(0%, 0%, 0%, 33%)"
gray68,#ADADAD,"rgb(173, 173, 173)","rgb(68%, 68%, 68%)","hsl(0, 0%, 68%)","cmyk(0%, 0%, 0%, 32%)"
gray69,#B0B0B0,"rgb(176, 176, 176)","rgb(69%, 69%, 69%)","hsl(0, 0%, 69%)","cmyk(0%, 0%, 0%, 31%)"
gray70,#B3B3B3,"rgb(179, 179, 179)","rgb(70%, 70%, 70%)","hsl(0, 0%, 70%)","cmyk(0%, 0%, 0%, 30%)"
gray71,#B5B5B5,"rgb(181, 181, 181)","rgb(71%, 71%, 71%)","hsl(0, 0%, 71%)","cmyk(0%, 0%, 0%, 29%)"
gray72,#B8B8B8,"rgb(184, 184, 184)","rgb(72%, 72%, 72%)","hsl(0, 0%, 72%)","cmyk(0%, 0%, 0%, 28%)"
gray73,#BABABA,"rgb(186, 186, 186)","rgb(73%, 73%, 73%)","hsl(0, 0%, 73%)","cmyk(0%, 0%, 0%, 27%)"
gray74,#BDBDBD,"rgb(189, 189, 189)","rgb(74%, 74%, 74%)","hsl(0, 0%, 74%)","cmyk(0%, 0%, 0%, 26%)"
silver (16 SVG),#C0C0C0,"rgb(192, 192, 192)","rgb(75%, 75%, 75%)","hsl(0, 0%, 75%)","cmyk(0%, 0%, 0%, 25%)"
gray,#BEBEBE,"rgb(190, 190, 190)","rgb(75%, 75%, 75%)","hsl(0, 0%, 75%)","cmyk(0%, 0%, 0%, 25%)"
gray75,#BFBFBF,"rgb(191, 191, 191)","rgb(75%, 75%, 75%)","hsl(0, 0%, 75%)","cmyk(0%, 0%, 0%, 25%)"
gray76,#C2C2C2,"rgb(194, 194, 194)","rgb(76%, 76%, 76%)","hsl(0, 0%, 76%)","cmyk(0%, 0%, 0%, 24%)"
gray77,#C4C4C4,"rgb(196, 196, 196)","rgb(77%, 77%, 77%)","hsl(0, 0%, 77%)","cmyk(0%, 0%, 0%, 23%)"
gray78,#C7C7C7,"rgb(199, 199, 199)","rgb(78%, 78%, 78%)","hsl(0, 0%, 78%)","cmyk(0%, 0%, 0%, 22%)"
gray79,#C9C9C9,"rgb(201, 201, 201)","rgb(79%, 79%, 79%)","hsl(0, 0%, 79%)","cmyk(0%, 0%, 0%, 21%)"
verylight grey,#CDCDCD,"rgb(205, 205, 205)","rgb(80%, 80%, 80%)","hsl(0, 0%, 80%)","cmyk(0%, 0%, 0%, 20%)"
gray80 (Safe Hex3),#CCCCCC,"rgb(204, 204, 204)","rgb(80%, 80%, 80%)","hsl(0, 0%, 80%)","cmyk(0%, 0%, 0%, 20%)"
gray81,#CFCFCF,"rgb(207, 207, 207)","rgb(81%, 81%, 81%)","hsl(0, 0%, 81%)","cmyk(0%, 0%, 0%, 19%)"
gray82,#D1D1D1,"rgb(209, 209, 209)","rgb(82%, 82%, 82%)","hsl(0, 0%, 82%)","cmyk(0%, 0%, 0%, 18%)"
gray83,#D4D4D4,"rgb(212, 212, 212)","rgb(83%, 83%, 83%)","hsl(0, 0%, 83%)","cmyk(0%, 0%, 0%, 17%)"
lightgrey (SVG),#D3D3D3,"rgb(211, 211, 211)","rgb(83%, 83%, 83%)","hsl(0, 0%, 83%)","cmyk(0%, 0%, 0%, 17%)"
lightgray (SVG),#D3D3D3,"rgb(211, 211, 211)","rgb(83%, 83%, 83%)","hsl(0, 0%, 83%)","cmyk(0%, 0%, 0%, 17%)"
gray84,#D6D6D6,"rgb(214, 214, 214)","rgb(84%, 84%, 84%)","hsl(0, 0%, 84%)","cmyk(0%, 0%, 0%, 16%)"
gray85,#D9D9D9,"rgb(217, 217, 217)","rgb(85%, 85%, 85%)","hsl(0, 0%, 85%)","cmyk(0%, 0%, 0%, 15%)"
